original_text,textblob_label,roberta_label,textblob_polarity,roberta_confidence,match
"Shifted from Windows to MacOS after using Windows till date. Takes a little time to get used to the new OS. But oh Boy!
-Its fast, smooth, light weight, super portable and a delight to work with.
- Display is amazing
- Speakers are loud
- No heating issues
- The biggest Highlight is the battery backup - runs well for a good 15-18 hrs on normal work usage
- Keyboard is fantastic, crisp, firm

The only negatives:
- the midnight color is a fingerprint magnet
- port selection is super limited",positive,positive,0.22363704004329005,0.8831425309181213,True
Excellent 👌😉,positive,positive,1.0,0.9711037874221802,True
"Best laptop in this price (73K in big billion day Sale)

Pros:
Thinner and lighter
Liquid retina display
Good 1080p webcam
Fastest M2 chip
Long battery life (lasts more than a day)
No fan noise
Smooth Mac OS
Loud and clear audio quality

Features missing in this price range:
Touch screen
Oled display
Atleast 512 gb storage
Refresh rate (atleast 90hz)
Fast charging
Tablet mode",positive,positive,0.275,0.8795539140701294,True
"If you need a laptop for parsonal uses , editing, coding, and much more at the best price range,
Not for gaming, if you play smaller game like 200mb the machine gonna too hot 🔥 if you are not a gamer then go for it...",positive,neutral,0.27,0.5210285186767578,False
"Very good performance and battery life. Coming from windows some things I like while somethings I hate.
But from the machine perspective value for money. Not for gamers.",neutral,positive,0.05499999999999994,0.7084839940071106,False
"Best in class
Display is just awesome crisp images
Sound quality very good
Fast charging also MagSafe
M2 chip best
Starlight colour loved it
Expensive but apple is apple",positive,positive,0.5511111111111111,0.9675150513648987,True
"The Item is outstanding, But the delivery was delayed due to Ekart Logistics.",positive,negative,0.1875,0.45942601561546326,False
"Performance of Mac is much superior as compared to any windows machine. If you are concerned w.r.t productivity and efficiency of your efforts on laptop, choose Macbook.

For my needs, M2 gives most value for money.

CAUTION - Beware of the fact that if you are switching from windows ecosystem, you will need to put spend substantial efforts in first 2-3 weeks to learn Mac commands and shortcuts.",positive,positive,0.48333333333333334,0.7305141687393188,True
Best laptop in 67k,positive,positive,1.0,0.955928385257721,True
You can go for it without even thinking twice. Definitely worth the price.,positive,positive,0.3,0.9378710985183716,True
"No need to tell it's apple
Good as al",positive,neutral,0.7,0.5196908116340637,False
The macbook is brilliant,positive,positive,0.9,0.9734345078468323,True
Great...,positive,positive,0.8,0.9286686182022095,True
"The best product and building quality is superb, no matter for the usage if u r a windows user and planning to buy mac.",positive,positive,1.0,0.9619764685630798,True
"This laptop is great and best for Students and programmers.

A lot of people will tell you that you can't install cracked apps but there are lots of options.

The battery is best no laptop comes close to it in terms of battery.

The keyboard and trackpad are the best that I have ever uses in any laptop especially the keyboard that is spot on the backlit is the best among all the laptops.

Coming to performance M2 chip will handle anything you throw at it but to mention M2 chip has slower SSD ...
READ MORE",positive,positive,0.7571428571428571,0.8914986252784729,True
"This MacBook is a fine wine ..
Go for it without any second thought.. 💗♾️🍷",positive,positive,0.20833333333333334,0.974586009979248,True
"Used for 2 months
Pros:
1.Performance is really good but 8gb ram will not be enough if you're doing video editing
2.Battery life is absolutely amazing
3. This was my first MacOs experience and I can say that Windows is better. There are some things that MacOS does better but it's not enough
4. I've played some games only a few. Not for gaming
5. Display , build, keyboard, touchpad , webcam and speakers are all very good
Cons:
1. It's very expensive just for an additional 256gb or 8gb ram
...
READ MORE",positive,positive,0.25916666666666666,0.837018609046936,True
Just phenomenal. My words can't describe this machine.,positive,positive,0.5,0.9525041580200195,True
Loved it❤️,positive,positive,0.7,0.9792174100875854,True
"Been waiting to buy a macbook since M1 lunch, but finally bought Air M2 because of BBD in Flipkart. I got it at an unbelievable price. But I was a little disappointed with the delivery as it got delivered after 4 days after it came out for delivery.

I think I don't need to talk anything about Macbook Air M2 performance, it's literally awesome and no window laptop can beat it's battery.",neutral,negative,-0.0375,0.39016035199165344,False
Totally Satisfied with this powerful machine. ✨,positive,positive,0.4,0.9890700578689575,True
"Just one word
Awesome 😊",positive,positive,1.0,0.9633685946464539,True
"I bought this Mac bcz I wanted to buy a MAC! Using it for last 1 week, initial impression is great. Will update the review in future I get spare time.",positive,positive,0.2,0.9578737616539001,True
I have used it for almost a year and my experience was great.,positive,positive,0.8,0.980904757976532,True
"Got it in BBD, it's an amazing machine working so good, got a good deal... thanks Flipkart 😎",positive,positive,0.55,0.9844878315925598,True
There is no need to review this product as when it comes to apple it gives you the best and premium feel. Though the MacBook is good the only disadvantage is the storage issue as it doesn't provide greater storage capacity.,positive,positive,0.55,0.45628634095191956,True
Great laptop value for money.,positive,positive,0.8,0.9766857028007507,True
"Apple Macbook Air M2 is my first laptop and I don't even need to elaborate on the quality and user friendliness of Apple devices. They always set the bar high when it comes to attention to detail like multiple device integration in the Apple ecosystem. No other company till now has been able to accomplish this feat so efficiently. Everything is so seamless that we are in awe of Apple products. No doubt these are premium and costly devices but we get our money's worth over a long duration of t...
READ MORE",positive,positive,0.23225,0.9740689992904663,True
"Its a light weight powerful machine which is smooth and has zero lags.
The keypad quality is good.
Midnight black color looks very elegant.",positive,positive,0.38055555555555554,0.9556217193603516,True
Nice,positive,positive,0.6,0.774058997631073,True
I bought the product during BBD 2023 at a good offer price. I am a first time mac user and got fascinated with the design and build quality of the Macbook. I feel like and excellent purchase.,positive,positive,0.65,0.9809369444847107,True
"Good product ,battery backup also good",positive,positive,0.7,0.9489203691482544,True
"Overall a product that never disappoints. The only thing that u don't like in this black colour is a fingerprint magnet every time you touch it, it gets full of fingerprints.",neutral,positive,0.04583333333333333,0.36759793758392334,False
Premium And good performance,positive,positive,0.7,0.9475549459457397,True
The hinge is too tight and it will open 10mm automatically after close,neutral,negative,-0.08928571428571429,0.6762345433235168,False
"Almost good performance, design but touch pad and battery back up not good.",positive,negative,0.11666666666666665,0.6114903688430786,False
"Changing the feedback after almost a month. In the start battery didn't even lasted for more than 30 mins. When I complained to HP customer support, they sent their engineer and a new battery was installed without any problem. Now it's working great. Great laptop and also great experience provided by customer service of HP.",positive,positive,0.45606060606060606,0.7479557394981384,True
Amazing one,positive,positive,0.6000000000000001,0.9577603340148926,True
"If it fits in your budget, then you have to stop searching and go for it. The best delivery from HP Pavilion.",positive,positive,1.0,0.9458873867988586,True
Good for Administrative work,positive,positive,0.7,0.8567158579826355,True
"I m writing review after using one month.
Very good product from HP and very smooth
Performance I m fully satisfied with this laptop thaks Flipkart for safe delivery",positive,positive,0.6074999999999999,0.9669977426528931,True
"Very good Laptop and value for money. Delivery was very fast, thanks a lot to Flipkart.",positive,positive,0.4566666666666666,0.9854189157485962,True
The product is stilish and worth of cost,positive,negative,0.3,0.7073291540145874,False
"Nice loptop.
Design is good.
Performance is also good.
Battery pack up is less and needed to improve.
Hp laptop is good for students and coding students.
Value for money.
Satisfied.",positive,positive,0.5055555555555555,0.9297158718109131,True
"battery backup very low only 2 to 3 hours
display qulity not good
fan sound very high
over heat issue",neutral,negative,0.051600000000000014,0.8357888460159302,False
Best gift for my daughter value of money,positive,positive,1.0,0.9810442328453064,True
"Amazing product from HP...
Value for Money💰👍.",positive,positive,0.6000000000000001,0.984131395816803,True
"Got at good price of this configuration.
Pros- Very light and slim. Looks nice, sound is awesome.. Processor wise fast, Design looks great.
Cons-Resolution is not satisfactory. Battery gets down very fast.
Overall value for money product. Happy wid it, hope for long lasting service...",positive,positive,0.4124603174603174,0.9330668449401855,True
Battery backup need to improve ...rest all stunning performance at this range,positive,neutral,0.5,0.5864045023918152,False
It's a good laptop but I would suggest to go for a latest upgrade in this price range. I got it at 58k.,positive,positive,0.6,0.875130832195282,True
Cool professional one!!,positive,positive,0.253125,0.9579002261161804,True
Don't meet my expectations for Battery backup.,neutral,negative,0.0,0.7983110547065735,False
"Good one as per the price range. You can find other laptops as well with the same pricing and advanced features but HP gives you that brand value and assurance. Go for it, if you are not an extensive user and need a light and stable well built product.",positive,positive,0.22916666666666666,0.8976802229881287,True
Good product for office use. Highly satisfied. It comes with backlit... Very sim,positive,positive,0.4666666666666666,0.9830886721611023,True
GOOD,positive,positive,0.7,0.6763386130332947,True
"Laptop is ok value for money , but battery backup is less and display average",neutral,neutral,0.06111111111111112,0.5008175373077393,True
It was good purchase,positive,positive,0.7,0.9538931846618652,True
It heats up even with running simple apps. battery drains up quickly. however processor is fast. Design looks good.,positive,positive,0.30833333333333335,0.870248019695282,True
"Initial experience was gud

Will post after 1mnth usage

Got 39990 in BBD",neutral,positive,0.0,0.5369592905044556,False
Nice look ... affordable price... smooth functioning,positive,positive,0.5,0.950111448764801,True
Ok,positive,positive,0.5,0.4870164394378662,True
Awesome product 👌 love it,positive,positive,0.75,0.9808510541915894,True
Very nice product,positive,positive,0.78,0.9448643922805786,True
👍 nice laptop,positive,positive,0.6,0.9648838043212891,True
Nice working,positive,positive,0.6,0.9351844191551208,True
"Review after 3days:
1. Excellent display for this budget.
2. Performance is good too.
3. The only con I noticed is the battery, battery backup is only 3-4 hours only.",positive,positive,0.33999999999999997,0.8824833631515503,True
Excellent product look wise and performance wise superb product you can use for office and student and business purpose best laptop at these price,positive,positive,0.8800000000000001,0.9779002070426941,True
The laptop is really good. But I am bit confused as some of the reviews says it has baclit keyboard. This feature is not available in this model.,neutral,positive,0.033333333333333305,0.42885249853134155,False
Awesome machine but battery disappointed 😞,positive,negative,0.125,0.7654703855514526,False
"I purchased this laptop on june 08...
Now its june 15 .. it working fine
I am purchasing this for coding..
Simple work run smoothly
But streaming or gaming it cause little bit heating...
Overall its very good laptop..

After reading so many reviews , i didn't like to buy this but i give it a try and it works fine...
Thank you dell and flipcart ....",positive,positive,0.30697916666666664,0.8980231285095215,True
Nice everything is best this price range 👍and angel view is very good 😊.,positive,positive,0.8366666666666666,0.982804536819458,True
It's nice and Good product 👍,positive,positive,0.6499999999999999,0.9740289449691772,True
"Good product💙💙
I love is product 🥰🥰🥰",positive,positive,0.6,0.9856162071228027,True
Overall good product in this price range.only need for improvement battery.,positive,positive,0.35,0.9499431848526001,True
design is not good because flap is touching to surface and its always take the load when its open and close and due to design air flow is not going to back side it will be flow towards upside. Display quality is very good and power backup is 5 hour when official work and 3 hour approx when multiple application and during watching movies.,positive,negative,0.13357142857142856,0.524878740310669,False
Good 👍,positive,positive,0.7,0.9402067065238953,True
Very gud,positive,positive,0.2,0.9140433073043823,True
First of all I was shocked 😱when I turned on first time it has backlight keyboard which is not mentioned in details and the performance is so smooth it has 120 hz display the display is feels like 2k the clear details and the viewing angel's are also good the design really feels premium quality and it's has thin bezels this laptop is my expectations above I loved it 🥰,positive,positive,0.15,0.9737796187400818,True
"Nice Product,Loved it",positive,positive,0.6,0.9723817706108093,True
"Awesome
Value for Money
Best for regular use
Not with keyboard backlight",positive,positive,0.6666666666666666,0.8658370971679688,True
Nice but baitry only 2-3 hour,positive,positive,0.3,0.7456523180007935,True
Overall laptop is best but it get heat too fast and when it heated it works slow,positive,negative,0.22499999999999998,0.567489504814148,False
"This is my first leptop very nice 👍
Best performance ever 😅",positive,positive,0.6766666666666667,0.9885097146034241,True
"Its okay.... Battery 🔋 worst ,too.much",negative,negative,-0.25,0.5959985852241516,True
Fully value for money...full Paisa wasool but battery is very poor also little heating problem and performance is good at this price ...I am a student of competitive examination and reviewing this after using 1 week..🤑🤑,neutral,positive,-0.002500000000000021,0.8866071701049805,False
Product is nice everything is good but battery is poor battery backup is very baad,positive,negative,0.27499999999999997,0.46588221192359924,False
Very very nice very nice very great very good,positive,positive,0.8674999999999999,0.9752587080001831,True
It's g good product,positive,positive,0.7,0.9625707864761353,True
"All over I love the product means in this price range I got all the features~ HD webcam,Backlit keyboard,12th gen everything so I love it",positive,positive,0.5,0.983089804649353,True
Good performance,positive,positive,0.7,0.9162586331367493,True
Ok good product,positive,positive,0.6,0.9155607223510742,True
Nice laptop for student for online class and programming.,positive,positive,0.6,0.9505250453948975,True
So nycc product value for money,neutral,neutral,0.0,0.7371726632118225,True
"The Dell Inspiron , with a quality overall user experience and capable performance is a good value proposition for working professionals and students
Thanks ❤️",positive,positive,0.27499999999999997,0.9648275375366211,True
Built is normal performance wise good,positive,positive,0.5166666666666666,0.8493225574493408,True
Keypad backlight is not there but in other model with same specifications has keyboard backlight and its hang little bit,negative,neutral,-0.10416666666666667,0.7486847639083862,False
"Not that my good , performance is slow",positive,negative,0.19999999999999996,0.8828513622283936,False
Good product in this price rang,positive,positive,0.7,0.8631908893585205,True
"Everything is good, but no proper battery backup",positive,negative,0.35,0.41912519931793213,False
Dell laptop are the best when comes to display and sound quality,positive,positive,0.7,0.9616041779518127,True
"I am using this laptop since 2 months.
Best laptop in this segment.",positive,positive,1.0,0.9715113639831543,True
Exllent,neutral,neutral,0.0,0.6670209765434265,True
Very good product,positive,positive,0.9099999999999999,0.9434438347816467,True
Nice,positive,positive,0.6,0.774058997631073,True
I3 is good for normal usage....,positive,positive,0.425,0.8168241381645203,True
Excellent Laptop. Dell Laptop are like i never had seen before and india's most trusted brand.,positive,positive,0.75,0.983183741569519,True
Most valuable laptop under 30k . Student must go to buy it.,positive,positive,0.5,0.8626542091369629,True
Value for money,neutral,neutral,0.0,0.5725551247596741,True
Very good product and working so smoothly 💯💯,positive,positive,0.655,0.9828798174858093,True
Very good quality,positive,positive,0.9099999999999999,0.9200591444969177,True
The Laptop is very good and works fine. I can do basic level video editing also. Worth for money.,positive,positive,0.4066666666666667,0.9612342715263367,True
"It's working fine, a value for money deal",positive,positive,0.4166666666666667,0.7889708876609802,True
Good quality very nice,positive,positive,0.74,0.9512788653373718,True
Good,positive,positive,0.7,0.6844374537467957,True
"Nice performance
and good quality",positive,positive,0.6499999999999999,0.9630935192108154,True
Nice Laptop in this range,positive,positive,0.6,0.9629058837890625,True
Just looking like a wow 🔥,neutral,positive,0.1,0.9055418372154236,False
V good go for it ... value of money,positive,positive,0.7,0.9269179105758667,True
Super,positive,positive,0.3333333333333333,0.6604627370834351,True
Very Nice and Slim product within this price range.,positive,positive,0.78,0.9672872424125671,True
Superb,positive,positive,1.0,0.9032238125801086,True
"It's good 😊 I love this prodack ❤️
But this price is varie experience",positive,positive,0.6,0.9816156029701233,True
all features are good..,positive,positive,0.7,0.9417486190795898,True
Good work,positive,positive,0.7,0.8972846865653992,True
Good,positive,positive,0.7,0.6844374537467957,True
"Nice laptop, good display, good keyboard but not backlit ,still its okay👍, performance wise is also performed well, so for me, it was a value for money.🙂 i have no complain for now🙂",positive,positive,0.6749999999999999,0.9676094651222229,True
"Battery issue, we are facing an issue with setting up pin for login, it keeps coming error",neutral,negative,0.0,0.7690423727035522,False
"DISPLAY IS 5/5
BATTERY 3/5
SPEAKER 3/5
PERFORMANCE 5/5 IN 33K",neutral,neutral,0.0,0.7903169393539429,True
Ok product,positive,neutral,0.5,0.6052709221839905,False
Laptop is gud but battery drain is faster... overall all ok....gud performance,neutral,positive,0.0,0.9558460116386414,False
Very good product and nice performance,positive,positive,0.7549999999999999,0.972855806350708,True
Best there has no backlight keeboard,positive,neutral,1.0,0.4591440260410309,False
Performance of this laptop is excellent and all the keys are working well also more or less battery backup is quite well it worthwhile the paid amount for this laptop..,positive,positive,0.4583333333333333,0.9794975519180298,True
Very nice product ( Deepak ),positive,positive,0.78,0.9719414710998535,True
Bought laptop nice brand new brand value,positive,positive,0.36818181818181817,0.955367922782898,True
Super 👍 product.,positive,positive,0.3333333333333333,0.9773555994033813,True
Laptop 💻 is a great 👍 thanks Flipkart build Quality is best,positive,positive,0.6666666666666666,0.9850795269012451,True
"I bought an i3 1215U 8gb ram version

Backlit keyboard comes only for i5 version...few images in the review section are not related.

1. Display is nice
2. No stuttering while doing normal tasks...but definitely can't even run rocket league at playable fps.",positive,negative,0.15,0.4861414432525635,False
Ok,positive,positive,0.5,0.4870164394378662,True
"Heating problem, battery backup not good , many times suddenly off",neutral,negative,0.05000000000000001,0.9124706983566284,False
Everything is working fine and speed is really good due to i3 processor which is enough for basic usages and I play game like asphalt and gta also.,neutral,positive,0.09861111111111111,0.9610567688941956,False
Heating issue and not performing according to specification mentioned.,neutral,negative,0.0,0.8246447443962097,False
Very nice value for money good performance,positive,positive,0.74,0.9721436500549316,True
Good product for delivery,positive,positive,0.7,0.9449846744537354,True
nice,positive,positive,0.6,0.6833009123802185,True
Verry slow working dont buy this products,negative,negative,-0.30000000000000004,0.9202553629875183,True
Nice n,positive,positive,0.6,0.7117438316345215,True
Nice,positive,positive,0.6,0.774058997631073,True
Dont take any product in flipkart,neutral,negative,0.0,0.7916014194488525,False
Best laptop,positive,positive,1.0,0.9377615451812744,True
Good p,positive,positive,0.7,0.72934889793396,True
Superb qualtiy,positive,positive,1.0,0.9240865111351013,True
"worst product
worst customer care service
don't buy it",negative,negative,-1.0,0.9056786894798279,True
Good pro,positive,positive,0.7,0.7219157814979553,True
Overall the product is good for beginners and professionals who are not into designing field. Because the system freezes while working and you have to restart it.,positive,positive,0.35,0.7159897685050964,True
Very good product,positive,positive,0.9099999999999999,0.9434438347816467,True
Experience very poor battery backup of 2hr,negative,negative,-0.52,0.9053956270217896,True
Nice product at this price range,positive,positive,0.6,0.9502795338630676,True
Nice product 😃😃,positive,positive,0.6,0.9701012372970581,True
Good,positive,positive,0.7,0.6844374537467957,True
Wonder full laptop,positive,positive,0.35,0.9116222858428955,True
Great product in Flipkart,positive,positive,0.8,0.977779746055603,True
Good quality products,positive,positive,0.7,0.8742901682853699,True
"Wrong information, High Rate of interest, wrong discount, wrong tenure.. All mismatch with flipkart offer...",negative,negative,-0.33499999999999996,0.8606412410736084,True
Good,positive,positive,0.7,0.6844374537467957,True
I used only 1 year 2 month laptop mother board damaged now not working,neutral,negative,0.0,0.8825092911720276,False
